Target,Dataset,R2,RMSE,MSE
Yield stress (MPa),Train,0.7404499628907405,16.406635738868506,269.1776962679173
Yield stress (MPa),Validation,0.05299675695313133,35.894284499593304,1288.399659737744
Yield stress (MPa),Test,0.04593651613119443,30.73194413312856,944.452390201735
Ultimate strength (Mpa),Train,0.8781006238167207,25.415728294748536,645.9592447524814
Ultimate strength (Mpa),Validation,0.7366192158559305,51.36224441909464,2638.0801517668183
Ultimate strength (Mpa),Test,0.7141162365997631,35.85862015098654,1285.840639132738
Ultimatestrain (%),Train,0.7953669622427818,1.4338286331076493,2.0558645491193497
Ultimatestrain (%),Validation,0.6554227594766542,1.5634227397122513,2.444290663049362
Ultimatestrain (%),Test,0.25503935907926334,2.294063852975743,5.262728961529911
